License,DBAName,Address,City,State,Zip,Latitude,Longitude
788.0,HILLTOP LIQUORS MART,10259 S MICHIGAN AVE ,CHICAGO,IL,60628.0,41.70724797476619,-87.62005636397815
800.0,RESI'S BIERSTUBE INC,2034 W IRVING PARK RD ,CHICAGO,IL,60618.0,41.95424367096349,-87.68030424642977
804.0,"LLOYDS LOUNGE, INC.",6046 S RACINE AVE ,CHICAGO,IL,60636.0,41.78367273729985,-87.65475216429716
822.0,JOE'S FOOD & LIQUOR,3626 W LAWRENCE AVE ,CHICAGO,IL,60625.0,41.968445246044006,-87.71941657581397
833.0,STEVE'S LOUNGE,13200 S BALTIMORE AVE ,CHICAGO,IL,60633.0,41.65541665055572,-87.54729079495272
842.0,LASKO'S,5525 N MILWAUKEE AVE ,CHICAGO,IL,60630.0,41.982306615471906,-87.77362028372556
845.0,ANDYS 11 EAST LOUNGE,11 E HUBBARD ST ,CHICAGO,IL,60611.0,41.889963868268154,-87.62750692235895
849.0,PROHIBITION CLUB,5600 N MILWAUKEE AVE ,CHICAGO,IL,60646.0,41.98287042320136,-87.77448692767355
851.0,DELISI'S PIZZERIA,5806 N WESTERN AVE ,CHICAGO,IL,60659.0,41.9870694721321,-87.6897050956807
853.0,R J GRUNTS,2054-2056 N LINCOLN PARK WEST ,CHICAGO,IL,60614.0,41.92003078139471,-87.636545550607
857.0,TONYS PEKING GARDEN INC,5819 W BELMONT AVE ,CHICAGO,IL,60634.0,41.93839141038951,-87.77211894533082
896.0,KEN'S LOUNGE & REST,10522 S WESTERN AVE ,CHICAGO,IL,60643.0,41.70201547384728,-87.68162963117253
901.0,NORMAN'S FOOD & LIQUORS,6647 S HALSTED ST ,CHICAGO,IL,60621.0,41.77290240985873,-87.64446132727797
928.0,TEASER'S PUB,7123 W HIGGINS AVE ,CHICAGO,IL,60656.0,41.98072619841562,-87.80571278001223
946.0,J & R COCKTAIL LOUNGE,612 E 79TH ST ,CHICAGO,IL,60619.0,41.751319087722045,-87.60952232294443
951.0,MITCHELL LOUNGE,2005 W 69TH ST ,CHICAGO,IL,60636.0,41.76832753024063,-87.67389580865591
955.0,FREDY'S INN,2905 N ELSTON AVE ,CHICAGO,IL,60618.0,41.93416814341909,-87.69047825732142
957.0,BOB'S LIQUORS & GROCERIES,5069 W MADISON ST ,CHICAGO,IL,60644.0,41.88029608947185,-87.7524941981518
968.0,CHEZ MOI,2100 N HALSTED ST ,CHICAGO,IL,60614.0,41.92008219079211,-87.6487247147394
971.0,ATHENS GROCERY,324 S HALSTED ST ,CHICAGO,IL,60661.0,41.877162128124134,-87.64736428967983
980.0,"7400 S HALSTED FOOD AND LIQUORS, INC.",7400 S HALSTED ST ,CHICAGO,IL,60621.0,41.759674581873924,-87.64442023888927
990.0,FALCO'S PIZZA,2806 W 40TH PL ,CHICAGO,IL,60632.0,41.82023097447918,-87.6948747056587
994.0,WILLIAMS INN,5701 S ASHLAND AVE ,CHICAGO,IL,60636.0,41.79029802503693,-87.66434168191911
1011.0,FITZGERALD'S LIQUORS,8700 S YATES BLVD ,CHICAGO,IL,60617.0,41.737218597971726,-87.56617609146669
1017.0,MEMBERS ONLY,4518 S MCDOWELL AVE ,CHICAGO,IL,60609.0,41.81183575812216,-87.66101296723271
1019.0,RED'S NEW GENERATION,6924 S STONY ISLAND AVE ,CHICAGO,IL,60649.0,41.768967018931015,-87.58646326583771
1036.0,STERCH'S,2238 N LINCOLN AVE ,CHICAGO,IL,60614.0,41.922698654947936,-87.6451329417807
1043.0,GRAND RIVER,3032 N LINCOLN AVE ,CHICAGO,IL,60657.0,41.936779807698976,-87.6648344969278
1046.0,B & B GROCERY LIQUOR INC,5337 W MADISON ST ,CHICAGO,IL,60644.0,41.880211796450354,-87.75905986096278
1050.0,"MARTINO'S ITALIAN CUISINE & PIZZERIA, INC.",3431 W PETERSON AVE ,CHICAGO,IL,60659.0,41.990198520314,-87.71526237304487
1052.0,ONE ELEVEN FOOD & LIQUOR INC,111 N KEDZIE AVE ,CHICAGO,IL,60612.0,41.883234943229546,-87.70603670011991
1058.0,LATIN AMERICAN REST & LOUNGE,2743 W DIVISION ST ,CHICAGO,IL,60622.0,41.90282132997605,-87.69614329943664
1060.0,ZIGGY'S SIDE DOOR PUB & DELI,6158 W 63RD ST ,CHICAGO,IL,60638.0,41.777878666016356,-87.77632371447477
1064.0,MI TIERRA-SOUTH,2528 S KEDZIE AVE ,CHICAGO,IL,60623.0,41.845451414064215,-87.70521428516844
1072.0,ROMANS INN,6448 N MILWAUKEE AVE ,CHICAGO,IL,60631.0,41.99840430798829,-87.78901421649418
1077.0,MONK'S PUB,205-207 W LAKE ST ,CHICAGO,IL,60606.0,41.885618494584676,-87.63412235814367
1094.0,ONE STOP FOOD & LIQUOR STORE,4301-4323 S LAKE PARK AVE ,CHICAGO,IL,60653.0,41.816865148052045,-87.59868884416672
1111.0,MY PLACE,2212 W TOUHY AVE ,CHICAGO,IL,60645.0,42.01235400127318,-87.68673249919986
1129.0,INTERNATIONAL FOODS NW INC,4404 W FULLERTON AVE ,CHICAGO,IL,60639.0,41.924472635553954,-87.73678950499338
1146.0,CANTONESIA INC,204 W CERMAK RD ,CHICAGO,IL,60616.0,41.85295755257229,-87.63230521692324
1158.0,"LAKESHORE RACQUET CLUB, INC.",1320 W FULLERTON AVE ,CHICAGO,IL,60614.0,41.92535735810077,-87.66138854381815
1168.0,BEEF AND BRANDY RESTAURANT,127 S STATE ST ,CHICAGO,IL,60603.0,41.87998272507764,-87.62757518849493
1179.0,GARBACZEWSKI CORP,4465 S ARCHER AVE ,CHICAGO,IL,60632.0,41.81205448912289,-87.70733017209244
1184.0,KOLMAR LOUNGE,4535 W MARQUETTE RD ,CHICAGO,IL,60629.0,41.7711054989456,-87.73610594890872
1187.0,SADDLE AND CYCLE CLUB,900 W FOSTER AVE ,CHICAGO,IL,60640.0,41.97654173158159,-87.65265763995865
1192.0,SABATINOS INC,4441-4443 W IRVING PARK RD ,CHICAGO,IL,60641.0,41.95340285737685,-87.73960222580374
1196.0,HOPSMITH TAVERN,15 W DIVISION ST ,CHICAGO,IL,60610.0,41.903820879188956,-87.62932852980816
1202.0,CLUB 81 INC,13157 S AVENUE M ,CHICAGO,IL,60633.0,41.65561554749405,-87.53732679339859
1203.0,CLUB 81 INC,13157 S AVENUE M ,CHICAGO,IL,60633.0,41.65561554749405,-87.53732679339859
1206.0,GOUDY ELEMENTARY,5120 N WINTHROP AVE ,CHICAGO,IL,60640.0,41.97581136866308,-87.65794915244456
1212.0,BRUNA'S CAFE,2424 S OAKLEY AVE ,CHICAGO,IL,60608.0,41.847573840855105,-87.68321583947979
1214.0,FOREMOST LIQUORS,3301 W NORTH AVE ,CHICAGO,IL,60647.0,41.90997097432308,-87.70949761510845
1219.0,MOODY'S RESTAURANT INC,5908 N BROADWAY ,CHICAGO,IL,60660.0,41.98933359616522,-87.6603946130645
1226.0,EDDIE'S FOOD & LIQUOR,9807 S COTTAGE GROVE AVE ,CHICAGO,IL,60628.0,41.71633044673003,-87.6043502679803
1237.0,"ITALIAN VILLAGE RESTAURANT, INC.",71 W MONROE ST ,CHICAGO,IL,60603.0,41.880591895360816,-87.63044232703336
1242.0,PALM RESTAURANT,323 E WACKER DR ,CHICAGO,IL,60601.0,41.8875560409486,-87.61965509328479
1246.0,BREHON PUB,731-733 N WELLS ST ,CHICAGO,IL,60610.0,41.89564749189664,-87.63402986481714
1254.0,DINO'S PIZZA,7004-7006 W HIGGINS AVE ,CHICAGO,IL,60656.0,41.9802687522649,-87.80254235319276
1259.0,Red Pepper's Lounge,426 E 87TH ST ,CHICAGO,IL,60619.0,41.73662996633576,-87.61333322109445
1261.0,IRVING PARK LANES,5708 W IRVING PARK RD ,CHICAGO,IL,60634.0,41.95325037760735,-87.76982734409481
1292.0,ARCH VIEW RESTAURANT,3115 S ARCHER AVE ,CHICAGO,IL,60608.0,41.837306047375456,-87.6661330516157
