License #,DBA Name,Address,City,State,Zip,Latitude,Longitude
1573914,METROPOLITAN FITNESS CLUB,233 S WACKER DR ,CHICAGO,IL,60606,41.87856015,-87.63652387
1573944,SUBWAY,1300 N ASHLAND AVE ,CHICAGO,IL,60622,41.90513176,-87.66768922
1573950,LABODEGA CHICAGO,1851 W ADDISON ST ,CHICAGO,IL,60613,41.94678888,-87.67594703
1573968,JIMMY JOHNS,216 W JACKSON BLVD ,CHICAGO,IL,60606,41.87822324,-87.63424738
1573979,GRILL & SUB,2906 E 83RD ST ,CHICAGO,IL,60617,41.74473649,-87.55366511
1573995,TNT PIZZA & BEEF,601 W ROOT ST ,CHICAGO,IL,60609,41.81887826,-87.64099728
1574000,LEVY RESTAURANTS AT WRIGLEY FIELD,1060 W ADDISON ST ,CHICAGO,IL,60613,41.94731749,-87.65641795
1574001,LEVY RESTAURANTS @ WRIGLEY FIELD,1060 W ADDISON ST ,CHICAGO,IL,60613,41.94731749,-87.65641795
1574002,LEVY RESTAURANTS @ WRIGLEY FIELD,1060 W ADDISON ST ,CHICAGO,IL,60613,41.94731749,-87.65641795
1574003,CERMAK PRODUCE,4401 W ARMITAGE AVE ,CHICAGO,IL,60639,41.91693444,-87.73638715
1574075,PIE DE LA CUESTA,6600 S KEDZIE AVE ,CHICAGO,IL,60629,41.77345339,-87.70315683
1574084,AL-AMIN GROCERY,6403 N ARTESIAN AVE ,CHICAGO,IL,60645,41.99785885,-87.69096193
1574089,MOHER,5310 W DEVON AVE ,CHICAGO,IL,60646,41.99743523,-87.76125862
1574179,SUNSHINE FOOD MART.,1200 W 69TH ST ,CHICAGO,IL,60636,41.76880097,-87.65427671
1574189,MARATHON FUEL & MINI MART,8950-58 S ASHLAND AVE ,CHICAGO,IL,60620,41.73059338,-87.66305763
1574362,KIDS COUNT TOO DAYCARE,1106-1108 W 63RD ST ,CHICAGO,IL,60621,41.77974954,-87.65238745
1574378,Cousins Fast Food,2833 N BROADWAY ,CHICAGO,IL,60657,41.93368774,-87.64445413
1574384,WHITE HEN,3152 W 111TH ST ,CHICAGO,IL,60655,41.69168075,-87.70051617
1574396,SUBWAY  5183,333 W NORTH AVE ,CHICAGO,IL,60610,41.91101315,-87.63801771
1574434,SABA GROCERY,4635 N KEDZIE AVE ,CHICAGO,IL,60625,41.96572454,-87.7082435
1574461,Dominick's #1703,255 E GRAND AVE ,CHICAGO,IL,60611,41.89168984,-87.62044413
1574471,"GOURMET GRAM,FILET GRAM & GRAM",4664 N LOWELL AVE ,CHICAGO,IL,60630,41.96622833,-87.73668124
1574484,RICH MINI MART,1012 W 31ST ST ,CHICAGO,IL,60608,41.83808191,-87.65178088
1574489,SUBWAY,2300 N MILWAUKEE AVE ,CHICAGO,IL,60647,41.92284258,-87.69748748
1574551,SOLO 1530,1530 S STATE ST ,CHICAGO,IL,60605,41.86101824,-87.6274171
1574564,MARISCOS EL ABUELO Y YO SEAFOOD,3752 S KEDZIE AVE ,CHICAGO,IL,60632,41.82444711,-87.70459624
1574603,THE CELLAR,3106 N HARLEM AVE ,CHICAGO,IL,60634,41.93661313,-87.80684752
1574620,CHILOECHELA RESTAURANT,4213 W NORTH AVE ,CHICAGO,IL,60639,41.90970026,-87.73196604
1574629,DANY'S TACO'S,11529 S MICHIGAN AVE ,CHICAGO,IL,60628,41.68447443,-87.62058684
1574635,JIMMY JOHN OF CHICAGO,7329 W IRVING PARK RD ,CHICAGO,IL,60634,41.95256564,-87.8112743
1574646,"MY CORNER PLAYROOM , INC",2121 N CLYBOURN AVE ,CHICAGO,IL,60614,41.91989968,-87.66180554
1574657,DUNKIN DONUTS,1713 W POLK ST ,CHICAGO,IL,60612,41.87146692,-87.66973629
1574738,DIBRA,5019 N WESTERN AVE ,CHICAGO,IL,60625,41.97291162,-87.68890204
